ICCID;IMSI;MSISDN;Billing Status;Data Session;Active Price Plan;Base Price Plan;Technology;Data Volume;SMS MO/MT Count;Voice MO/MT Duration;Country;Activation Date (UTC);Group;Device;Roaming Profile;APN Group;APN & Static IP;Service Profile
89430301722110310016;232031721031001;436761723010508;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;EDGE;601583;0 / 0;0 / 0;Colombia;2023-08-31;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.252.92;DATA/SMS [TMA]
89430301722110310024;232031721031002;436761723010509;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;EDGE;;0 / 0;0 / 0;Colombia;2023-08-31;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.224.226;DATA/SMS [TMA]
89430301722110310032;232031721031003;436761723010510;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;UMTS;1056138;0 / 0;0 / 0;Ecuador;2023-08-29;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.182.23;DATA/SMS [TMA]
89430301722110310040;232031721031004;436761723010511;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;EDGE;1506879;0 / 0;0 / 0;Colombia;2023-08-23;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.218.120;DATA/SMS [TMA]
89430301722110310057;232031721031005;436761723010512;Retired;Offline;RASTREAR_10MB_ZoneD_Colombia_Pool;;UMTS;;0 / 0;0 / 0;Colombia;2022-05-26;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.218.78;DATA/SMS [TMA]
89430301722110310065;232031721031006;436761723010513;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;EDGE;1551186;0 / 0;0 / 0;Colombia;2022-05-26;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.196.114;DATA/SMS [TMA]
89430301722110310073;232031721031007;436761723010514;In Billing;Offline;RASTREAR_10MB_ZoneD_Colombia_Pool;;UMTS;;0 / 0;0 / 0;Colombia;2022-06-11;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.130.146;DATA/SMS [TMA]
89430301722110310081;232031721031008;436761723010515;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;UMTS;1525493;0 / 0;0 / 0;Colombia;2022-06-06;RASTREAR;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.160.234;DATA/SMS [TMA]
89430301722110310099;232031721031009;436761723010516;Retired;Offline;RASTREAR_10MB_ZoneD_Colombia_Pool;;UMTS;;0 / 0;0 / 0;Colombia;2022-05-24;PUERTO;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.140.168;DATA/SMS [TMA]
89430301722110310107;232031721031010;436761723010517;In Billing;Online;RASTREAR_10MB_ZoneD_Colombia_Pool;;EDGE;1378958;0 / 0;0 / 0;Colombia;2022-05-21;PUERTO;;TMA Global Roaming Profile;iot.secure [TMA];iot.secure [TMA] 10.13.207.21;DATA/SMS [TMA]
